Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
385	Beutel, R. G., & Leschen, R. A. B. (2016). 12. Hydrophiloidea Latreille, 1802. In Handbook of Zoology Volume 1 Coleoptera, Beetles. Morphology and Systematics. De Gruyter. pp. 231-272.	Analogue	Book section		NA		Global	2016	978-31-1037-392-9	ISBN-13
386	Grasschaumzikade. (2021). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Grasschaumzikade&oldid=215800283	Analogue	Voluntary website		NA		NA	2021	https://de.wikipedia.org/w/index.php?title=Grasschaumzikade&oldid=215800283	URL
387	Rouchley, R. E. (2002). Haliplidae. In Arnett, R. and Thomas, M. (eds.) American Beetles (Vol. 1). CRC Press.	Analogue	Book section		NA		USA	2002	978-14-2004-123-1	ISBN-13
388	Harpootlian, P., Quinn, M., Marfus, V., & Hess, M. (2023). Family Throscidae—Small False Click Beetles. https://bugguide.net/node/view/14532	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/14532	URL
389	Bartlett, T., Coin, P., Harpootlian, P., Hanley, G., Gruber, J., Barnd, B., Quinn, M., Marfus, V., & Santos, A. (2023). Subfamily Silphinae—Carrion Beetles. https://bugguide.net/node/view/167	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/167	URL
390	McLeod, R., Moisset, B., Wirth, C., Marfus, V., Santos, A., & Woo, B. (2023). Species Acheta domesticus—House Cricket. https://bugguide.net/node/view/31207	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/31207	URL
391	Kits, J., Coin, P., Bayless, K., Schusteff, A., Marfus, V., & Angell, C. (2023). Family Heleomyzidae. https://bugguide.net/node/view/12760	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/12760	URL
392	Hellberg-Rode, G. (2002). Steckbrief: Erdläufer. Hypersoil. https://hypersoil.uni-muenster.de/0/07/06/17.htm	Analogue	Scientific website		NA		NA	2002	https://hypersoil.uni-muenster.de/0/07/06/17.htm	URL
393	Sazhnev, A. (2020). Beetles of the family Heteroceridae (Insecta: Coleoptera) in extreme environments. Ecosystem Transformation, 3, 22–31. https://doi.org/10.23859/estr-200323a	Analogue	Primary literature		NA		Russia	2020	10.23859/estr-200323a	DOI
394	Jäch, M. A., Beutel, R. G., Delgado, J. A., & Diaz, J. A. (2016). Hydraenidae Mulsant, 1844. In Handbook of Zoology Volume 1 Coleoptera, Beetles. Morphology and Systematics. De Gruyter.	Analogue	Book section		NA		Global	2016	978-31-1037-392-9	ISBN-13
395	Hayashi, M., & Morimoto, R. (2022). Laboratory rearing of Hydrochus japonicus (Coleoptera: Hydrochidae) suggests larvae live at the water bottom. Entomological Science, 25(1), e12498. https://doi.org/10.1111/ens.12498	Analogue	Primary literature		NA		Japan	2022	10.1111/ens.12498	DOI
396	Wagner, W. (n.d.). European locusts and their ecology: Gryllus bimaculatus. Retrieved 1 May 2023, from http://www.pyrgus.de/Gryllus_bimaculatus_en.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Gryllus_bimaculatus_en.html	URL
397	Wagner, W. (n.d.). European locusts and their ecology: Schistocerca gregaria. Retrieved 1 May 2023, from http://www.pyrgus.de/Schistocerca_gregaria_en.html	Analogue	Scientific website		NA		Europe	NA	http://www.pyrgus.de/Schistocerca_gregaria_en.html	URL
398	Kits, J., Cresswel, S., Moisset, B., Barnd, B., & Marfus, V. (2014). Family Mycetophilidae—Fungus Gnats. https://bugguide.net/node/view/12759	Analogue	Scientific website		NA		North America	2014	https://bugguide.net/node/view/12759	URL
399	Kits, J., Moisset, B., Entz, C., Carr, J. F., Marfus, V., & Santos, A. (2021). Family Keroplatidae—Predatory Fungus Gnats. https://bugguide.net/node/view/14942	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/14942	URL
400	Martin, H. (n.d.). Hummel-Arten: Bombus argillaceus. Retrieved 1 May 2023, from https://www.wildbienen.de/b-argill.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/b-argill.htm	URL
401	Kropiewnicki, T., Brummermann, M., & Marfus, V. (2020). Species Ctenolepisma lineatum—Four-lined Silverfish. https://bugguide.net/node/view/156092	Analogue	Scientific website		NA		North America	2020	https://bugguide.net/node/view/156092	URL
402	Krushelnycky, P. D. (2014). Evaluating the Interacting Influences of Pollination, Seed Predation, Invasive Species and Isolation on Reproductive Success in a Threatened Alpine Plant. PLOS ONE, 9(2), e88948. https://doi.org/10.1371/journal.pone.0088948	Analogue	Primary literature		Visual observation	Observations using traps	USA	2014	10.1371/journal.pone.0088948	DOI
403	Lawrence, J. F. (1977). Coleoptera Associated with an Hypoxylon Species (Ascomycetes: Xylariaceae) on Oak. The Coleopterists Bulletin, 31(4), 309–312. JSTOR.	Analogue	Primary literature		NA		USA	1977	http://www.jstor.org/stable/3999883	URL
404	Robinson, W. H. (2005). Handbook of urban insects and arachnids: A handbook of urban entomology. Cambridge University Press.	Analogue	Book		NA		USA	2005	978-11-3944-347-0	ISBN-13
405	Lattin, J. D. (1999). BIONOMICS OF THE ANTHOCORIDAE. Annual Review of Entomology, 44(Volume 44, 1999), 207–231. https://doi.org/10.1146/annurev.ento.44.1.207	Analogue	Primary literature		Metaanalysis		NA	1999	10.1146/annurev.ento.44.1.207	DOI
406	Balaban, J., Balaban, J., Coin, P., Moisset, B., Thomas, A. W., Bayless, K., Marfus, V., Wolgemuth, K., & Santos, A. (2023). Family Lauxaniidae. https://bugguide.net/node/view/7021	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/7021	URL
407	Lawrence, J. F., & A. F. Newton, Jr. (1980). Coleoptera Associated with the Fruiting Bodies of Slime Molds (Myxomycetes). The Coleopterists Bulletin, 34(2), 129–143. JSTOR.	Analogue	Primary literature		NA		NA	1980	http://www.jstor.org/stable/4000119	URL
408	Newton, A. F. (2016). Leiodidae Fleming, 1821. In Handbook of Zoology Volume 1 Coleoptera, Beetles. Morphology and Systematics. De Gruyter.	Analogue	Book section		NA		Global	2016	978-31-1037-392-9	ISBN-13
409	Martin, H. (n.d.). Kuckuckshummel-Arten: Bombus norvegicus. Retrieved 1 May 2023, from https://www.wildbienen.de/b-norveg.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/b-norveg.htm	URL
410	Martin, H. (n.d.). Kuckuckshummel-Arten: Bombus quadricolor. Retrieved 1 May 2023, from https://www.wildbienen.de/b-quadri.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/b-quadri.htm	URL
411	Líznarová, E., Sentenská, L., García, L. F., Pekár, S., & Viera, C. (2013). Local trophic specialisation in a cosmopolitan spider (Araneae). Zoology, 116(1), 20–26. https://doi.org/10.1016/j.zool.2012.06.002	Analogue	Primary literature		Experimental observation		NA	2013	10.1016/j.zool.2012.06.002	DOI
412	Wiki der Arachnologischen Gesellschaft e. V.-Bearbeiter. (2020). Lycosidae. In Wiki der Arachnologischen Gesellschaft e. V. https://wiki.arages.de/index.php?title=Spezial:Zitierhilfe&page=Lycosidae&id=121291&wpFormIdentifier=titleform	Analogue	Scientific website		NA		Europe	2020	https://wiki.arages.de/index.php?title=Spezial:Zitierhilfe&page=Lycosidae&id=121291&wpFormIdentifier=titleform	URL
413	Martin, H. (n.d.). Kegelbienen: Coelioxys afra. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-cafra.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-cafra.htm	URL
414	Chaboo, C. S. (2015). Beetles (Coleoptera) of Peru: A Survey of the Families. Lymexylidae Fleming, 1821. Journal of the Kansas Entomological Society, 88(2), 258–259. https://doi.org/10.2317/kent-88-02-258-259.1	Analogue	Primary literature		NA		USA	2015	10.2317/kent-88-02-258-259.1	DOI
415	Maekawa, K., Lo, N., Rose, H. A., & Matsumoto, T. (2003). The evolution of soil-burrowing cockroaches (Blattaria: Blaberidae) from wood-burrowing ancestors following an invasion of the latter from Asia into Australia. Proceedings of the Royal Society of London. Series B: Biological Sciences, 270(1521), 1301–1307. https://doi.org/10.1098/rspb.2003.2359	Analogue	Primary literature		Metaanalysis		Australia	2003	10.1098/rspb.2003.2359	DOI
416	Mandery, K. (2016). Über Fächerflügler (Strepsiptera) bei Hautflüglern (Hymenoptera) in Franken und darüber hinaus. Galathea, Berichte Des Kreises Nürnberger Entomologen e.V., 32, 83–99.	Analogue	Primary literature		Visual observation		Germany	2016	https://www.zobodat.at/pdf/Galathea_32_0083-0099.pdf	URL
417	Marfus, V. (2021). Family Thanerocleridae. https://bugguide.net/node/view/2033113	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/2033113	URL
418	McClarin, J., Harpootlian, P., Quinn, M., Moyer, T., & Marfus, V. (2023). Family Phalacridae—Shining Flower Beetles. https://bugguide.net/node/view/38232	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/38232	URL
419	McClarin, J., Coin, P., McLeod, R., Harpootlian, P., Gruber, J., Marfus, V., & Hess, M. (2023). Family Ptiliidae—Featherwing[ed] Beetles. https://bugguide.net/node/view/33795	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/33795	URL
420	McClarin, J., Carr, J. F., Eiseman, C., Marfus, V., & Santos, A. (2021). Family Xylomyidae. https://bugguide.net/node/view/49433	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/49433	URL
421	McClarin, J., Coin, P., Harpootlian, P., Gruber, J., Barnd, B., Quinn, M., Gompel, N., & Marfus, V. (2023). Family Aderidae—Ant-like Leaf Beetles. https://bugguide.net/node/view/41421	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/41421	URL
422	McClarin, J., Eiseman, C., & Marfus, V. (2015). Family Sphindidae—Cryptic Slime Mold Beetles. https://bugguide.net/node/view/58158	Analogue	Scientific website		NA		North America	2015	https://bugguide.net/node/view/58158	URL
423	McLeod, R., Balaban, J., Balaban, J., Grinter, C., Parker, A., & Hardy, R. (2014). Family Hepialidae—Ghost Moths. https://bugguide.net/node/view/19714	Analogue	Scientific website		NA		North America	2014	https://bugguide.net/node/view/19714	URL
424	McLeod, R., & Marfus, V. (2022). Family Hydropsychidae—Netspinning Caddisflies. https://bugguide.net/node/view/13136	Analogue	Scientific website		NA		North America	2022	https://bugguide.net/node/view/13136	URL
425	Elliott, L., Coin, P., Moisset, B., Marfus, V., & Rulik, B. (2023). Family Milichiidae—Freeloader Flies. https://bugguide.net/node/view/23319	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/23319	URL
426	Miłkowski, M., Tatur-Dytkowski, J., Jerzy M., G., Ruta, R., Grzywocz, J., Konwerski, S., Krolik, R., Kubisz, D., Lason, A., Melke, A., Olbrycht, T., Szołtys, H., & Wanat, M. (2019). Trogossitidae, Lophocateridae, Peltidae and Thymalidae (Coleoptera: Cleroidea) of Poland: Distribution, biology and conservation. Polish Journal of Entomology, 88, 215–274. https://doi.org/10.2478/pjen-2019-0017	Analogue	Primary literature		Metaanalysis		Poland	2019	10.2478/pjen-2019-0017	DOI
427	Moisset, B., Harpootlian, P., Quinn, M., Marfus, V., Hess, M., & Santos, A. (2023). Family Anthribidae—Fungus Weevils. https://bugguide.net/node/view/8717	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/8717	URL
428	Moisset, B., McLeod, R., Coulter, B., Wood, C., Marfus, V., & Woo, B. (2014). Family Boreidae—Snow Scorpionflies. https://bugguide.net/node/view/12104	Analogue	Scientific website		NA		North America	2014	https://bugguide.net/node/view/12104	URL
429	Molero-Baltanás, R., Bach, C., Tinaut, A., Diz-Perez, J., & Gaju-Ricart, M. (2017). Symbiotic relationships between silverfish (Zygentoma: Lepismatidae, Nicoletiidae) and ants (Hymenoptera: Formicidae) in the Western Palaearctic. A quantitative analysis of data from Spain. Myrmecological News, 24, 107–122.	Analogue	Primary literature		Visual observation		Europe; Russia	2017	https://www.researchgate.net/publication/313869474_Symbiotic_relationships_between_silverfish_Zygentoma_Lepismatidae_Nicoletiidae_and_ants_Hymenoptera_Formicidae_in_the_Western_Palaearctic_A_quantitative_analysis_of_data_from_Spain	URL
430	Moisset, B., McLeod, R., Bayless, K., Schusteff, A., Carr, J. F., Schneider, K., & Marfus, V. (2021). Family Ceratopogonidae—Biting Midges. https://bugguide.net/node/view/19768	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/19768	URL
431	Murray, T., Bayless, K., Barnd, B., Montgomery, G., & Marfus, V. (2014). Family Lonchopteridae—Pointed-winged Flies. https://bugguide.net/node/view/29320	Analogue	Scientific website		NA		North America	2014	https://bugguide.net/node/view/29320 	URL
432	Honomichl, K., & Bellmann, H. (1996). Biologie und Ökologie der Insekten. G. Fischer.	Analogue	Book		NA		Germany	1996	34-3725-020-5	ISBN-10
433	Murray, T., Moisset, B., Entz, C., Montgomery, G., Marfus, V., & Woo, B. (2023). Family Forficulidae—Common Earwigs. https://bugguide.net/node/view/23279	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/23279	URL
434	Murray, T., Harpootlian, P., Marfus, V., & Hess, M. (2023). Family Melandryidae—False Darkling Beetles. https://bugguide.net/node/view/16993	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/16993	URL
435	Murray, T., Coin, P., McLeod, R., Harpootlian, P., Entz, C., Moyer, T., Marfus, V., & Pintar, M. (2023). Family Psephenidae—Water Penny Beetles. https://bugguide.net/node/view/36129	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/36129	URL
436	Murray, T., Harpootlian, P., Quinn, M., Moyer, T., & Marfus, V. (2023). Family Noteridae—Burrowing Water Beetles. https://bugguide.net/node/view/49798	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/49798	URL
437	Murray, T., Rulik, B., Schusteff, A., Marfus, V., & Courtney, G. W. (2017). Family Blephariceridae—Net-winged Midges. https://bugguide.net/node/view/62483	Analogue	Scientific website		NA		North America	2017	https://bugguide.net/node/view/62483	URL
438	Arnett, R. H., Thomas, M. C., Skelley, P. E., & Frank, J. H. (Eds.). (2002). American Beetles, Volume II: Polyphaga: Scarabaeoidea through Curculionoidea. CRC Press.	Analogue	Book section		NA		USA	2002	10.1201/9781420041231	DOI
439	Pollock, D. A. (2011). Mycteridae Blanchard, 1845. In Morphology and Systematics (Elateroidea, Bostrichiformia, Cucujiformia partim) (Vol. 2, pp. 61–69). De Gruyter.	Analogue	Book section		NA		Global	2011	978-31-1091-121-3	ISBN-13
440	Nabidae. (2023). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Nabidae&oldid=1136760773	Analogue	Voluntary website		NA		NA	2023	https://en.wikipedia.org/w/index.php?title=Nabidae&oldid=1136760773	URL
441	Nentwig, W. (2012). Ecophysiology of Spiders. Springer Berlin Heidelberg. https://books.google.ch/books?id=4TztCAAAQBAJ	Analogue	Book		NA		NA	2012	978-36-4271-552-5	ISBN-13
442	Wiki der Arachnologischen Gesellschaft e. V.-Bearbeiter. (2020). Nesticidae. In Wiki der Arachnologischen Gesellschaft e. V. https://wiki.arages.de/index.php?title=Nesticidae&oldid=120759	Analogue	Scientific website		NA		Europe	2020	https://wiki.arages.de/index.php?title=Nesticidae&oldid=120759	URL
443	Leschen, R. A. B., & Beutel, R. G. (2011). Nosodendridae Erichson, 1846. In Morphology and Systematics (Elateroidea, Bostrichiformia, Cucujiformia partim) (Vol. 2, pp. 185–190). De Gruyter.	Analogue	Book section		NA		Global	2011	978-31-1091-121-3	ISBN-13
444	Orsodacnidae. (2023). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Orsodacnidae&oldid=234038445	Analogue	Voluntary website		NA		NA	2023	https://de.wikipedia.org/w/index.php?title=Orsodacnidae&oldid=234038445	URL
445	Oxyopes lineatus. (2021). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Oxyopes_lineatus&oldid=1023785439	Analogue	Voluntary website		NA		NA	2021	https://en.wikipedia.org/w/index.php?title=Oxyopes_lineatus&oldid=1023785439	URL
446	Wiki der Arachnologischen Gesellschaft e. V.-Bearbeiter. (2016). Pholcidae. In Wiki der Arachnologischen Gesellschaft e. V. https://wiki.arages.de/index.php?title=Pholcidae&oldid=85077	Analogue	Scientific website		NA		Europe	2016	https://wiki.arages.de/index.php?title=Pholcidae&oldid=85077	URL
447	Martin, H. (n.d.). Kegelbienen: Coelioxys conoidea. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-ccono.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-ccono.htm	URL
448	Martin, H. (n.d.). Kegelbienen: Coelioxys elongata. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-celon.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-celon.htm	URL
449	Seago, A., & Beutel, R. G. (2011). Prostomidae Thomson, 1859. In Morphology and Systematics (Elateroidea, Bostrichiformia, Cucujiformia partim) (Vol. 2, pp. 659–667). De Gruyter.	Analogue	Book section		NA		Global	2011	978-31-1091-121-3	ISBN-13
450	Lawrence, J. F. (2016). Ptilodactylidae Laporte, 1836. In Handbook of Zoology Volume 1 Coleoptera, Beetles. Morphology and Systematics. De Gruyter.	Analogue	Book section		NA		Global	2016	978-31-1037-392-9	ISBN-13
451	Coin, P., Cresswel, S., Carr, J. F., Marfus, V., Woo, B., & Dankowicz, Z. (2023). Family Ptychopteridae—Phantom and Fold-winged Crane Flies. https://bugguide.net/node/view/120	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/120	URL
452	Pollock, D. A. (2011). Pythidae Solier, 1834. In Morphology and Systematics (Elateroidea, Bostrichiformia, Cucujiformia partim) (Vol. 2, pp. 708–715). De Gruyter.	Analogue	Book section		NA		Global	2011	978-31-1091-121-3	ISBN-13
453	Martin, H. (n.d.). Kegelbienen: Coelioxys inermis. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-ciner.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-ciner.htm	URL
454	Ramírez, M. J. (2014). The Morphology And Phylogeny Of Dionychan Spiders (Araneae: Araneomorphae). Bulletin of the American Museum of Natural History, 2014(390), 1–374. https://doi.org/10.1206/821.1	Analogue	Primary literature		NA		Global	2014	10.1206/821.1	DOI
455	Dohle, W., Angermann, R., Goldschmid, A., Rieger, R., & Westheide, W. (2004). Spezielle Zoologie Teil 1: Korrigierter und ergänzter Nachdruck der 1. Aufl. 1996. Spektrum Akademischer Verl.	Analogue	Book		NA		Germany	2004	38-2741-482-2	ISBN-10
456	Remane, R., & Wachmann, E. (1993). Zikaden: Kennenlernen—Beobachten. In Zikaden kennenlernen—Beobachten. Naturbuch Verlag.	Analogue	Book	Identification literature	NA		Germany	1993	38-9440-044-7	ISBN-10
457	Martin, H. (n.d.). Kegelbienen: Coelioxys rufescens. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-crufe.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-crufe.htm	URL
458	Martin, H. (n.d.). Furchenbienen: Lasioglossum semilucens. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-lsemi.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-lsemi.htm	URL
459	Stock, M. W., & Lattin, J. D. (1976). Biology of Intertidal Saldula palustris (Douglas) on the Oregon Coast (Heteroptera: Saldidae). Journal of the Kansas Entomological Society, 49(3), 313–326. JSTOR.	Analogue	Primary literature		NA		USA	1976	http://www.jstor.org/stable/25082827	URL
460	Westrich, P. (2005). Gegenspieler: Sapygidae 2. Faszination Wildbienen. https://www.wildbienen.info/gegenspieler/sapygidae_2.php	Analogue	Scientific website		NA		Germany	2005	https://www.wildbienen.info/gegenspieler/sapygidae_2.php	URL
461	Sartori, M., & Brittain, J. E. (2015). Chapter 34—Order Ephemeroptera. In J. H. Thorp & D. C. Rogers (Eds.), Thorp and Covich’s Freshwater Invertebrates (Fourth Edition) (pp. 873–891). Academic Press. https://doi.org/10.1016/B978-0-12-385026-3.00034-6	Analogue	Book section		NA		North America	2015	10.1016/B978-0-12-385026-3.00034-6	DOI
462	Fletcher, J. T., White, P. F., & Gaze, R. H. (1989). Mushrooms: Pest and disease control (Second ed.). Intercept.	Analogue	Book		NA		United Kingdom	1989	09-4670-727-8	ISBN-10
463	Klausnitzer, B. (2008). Kurze Vorstellung der Familie Scirtidae (Coleoptera) (137. Beitrag zur Kenntnis der Scirtidae). Entomologica Austriaca, 15, 33–40.	Analogue	Primary literature		NA		Austria	2008	https://www.zobodat.at/publikation_articles.php?id=70629	URL
464	Wiki der Arachnologischen Gesellschaft e. V.-Bearbeiter. (2017). Segestriidae. In Wiki der Arachnologischen Gesellschaft e. V. https://wiki.arages.de/index.php?title=Segestriidae&oldid=95508	Analogue	Scientific website		NA		Europe	2017	https://wiki.arages.de/index.php?title=Segestriidae&oldid=95508	URL
465	Ang, Y., & Meier, R. (2010). Five additions to the list of Sepsidae (Diptera) for Vietnam: Perochaeta cuirassa sp. n., Perochaeta lobo sp. n., Sepsis spura sp. n., Sepsis sepsi Ozerov, 2003and Sepsis monostigma Thompson, 1869. ZooKeys, 70, 41–56. https://doi.org/10.3897/zookeys.70.766	Analogue	Book		NA		Singapore	2010	10.3897/zookeys.70.766	DOI
466	Shapiro, L. (2019). Zodariid Ground Spiders. Encyclopedia of Life. https://api.eol.org/pages/9038/articles	Analogue	Scientific website		NA		NA	2019	https://api.eol.org/pages/9038/articles	URL
467	Martin, H. (n.d.). Wespenbienen: Nomada bifasciata. Retrieved 1 May 2023, from https://www.wildbienen.de/eb-nbifa.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-nbifa.htm	URL
468	Lawrence, J. F., & Ślipiński, S. A. (2019). Spercheidae Erichson, 1837. In Australian Beetles Volume 2: Archostemata, Myxophaga, Adephaga, Polyphaga (Vol. 2). CSIRO Publishing.	Analogue	Book section		NA		Australia	2019	978-06-4309-730-8	ISBN-13
469	Haselböck, A. (2008). Stevenia atramentaria / Kein deutscher Name bekannt / Asselfliegen—Rhinophoridae. https://www.naturspaziergang.de/Zweifluegler/Tachinidae/Stevenia_atramentaria.htm	Analogue	Voluntary website		NA		Germany	2008	https://www.naturspaziergang.de/Zweifluegler/Tachinidae/Stevenia_atramentaria.htm	URL
470	Woodley, N. E. (2009). Family Stratiomyidae. In Gerlach, J. (ed.). The Diptera of the Seychelles Islands (pp. 100–106). Pensoft.	Analogue	Book section		NA		Seychelles	2009	978-95-4642-461-7	ISBN-13
471	Martin, H. (n.d.). Solitärbienen-Arten: Woll- und Harzbienen (Anthidium). Retrieved 1 May 2023, from https://www.wildbienen.de/eb-anthi.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-anthi.htm	URL
472	Klausnitzer, B. (1996). Käfer im und am Wasser (2. überarbeitete Auflage). Westarp Wissenschaften.	Analogue	Book		NA		Germany	1996	38-9432-478-3	ISBN-10
473	Wiki der Arachnologischen Gesellschaft e. V.-Bearbeiter. (2020). Theridiosomatidae. In Wiki der Arachnologischen Gesellschaft e. V. https://wiki.arages.de/index.php?title=Theridiosomatidae&oldid=120758	Analogue	Scientific website		NA		Europe	2020	https://wiki.arages.de/index.php?title=Theridiosomatidae&oldid=120758	URL
474	Wiki der Arachnologischen Gesellschaft e. V.-Bearbeiter. (2020). Thomisidae. In Wiki der Arachnologischen Gesellschaft e. V. https://wiki.arages.de/index.php?title=Thomisidae&oldid=122038	Analogue	Scientific website		NA		Europe	2020	https://wiki.arages.de/index.php?title=Thomisidae&oldid=122038	URL
475	Nardi, J. B. (2023). The hidden company that trees keep: Life from treetops to root tips. Princeton University Press.	Analogue	Book		NA		NA	2023	978-06-9123-797-8	ISBN-13
476	Tricarico, E. (2019). Faxonius limosus (Spiny-cheek crayfish). CABI Compendium, CABI Compendium, 72033. https://doi.org/10.1079/cabicompendium.72033	Analogue	Institutional website		NA		USA; Europe; Morocco	2019	10.1079/cabicompendium.72033	DOI
477	Pratt, H. D. (2003). The winter crane flies of North America north of Mexico (Diptera: Trichoceridae). Proceedings of the Entomological Society of Washington, 105, 901–914.	Analogue	Primary literature		NA		North America south of Mexico	2003	https://www.biodiversitylibrary.org/part/55628	URL
478	U.S. Fisch and Wildlife Service. (1995). For a 4(d) Rule for the Conservation of the Northern Spotted Owl on Non-federal Lands, Environmental Alternatives Analysis. p. 137	Analogue	Book	Government document	NA		USA	1995	https://books.google.ch/books?id=Xys3AQAAMAAJ	URL
479	HAWTHORN, A. C., & OPELL, B. D. (2002). Evolution of adhesive mechanisms in cribellar spider prey capture thread: Evidence for van der Waals and hygroscopic forces. Biological Journal of the Linnean Society, 77(1), 1–8. https://doi.org/10.1046/j.1095-8312.2002.00099.x	Analogue	Primary literature		NA		USA	2003	10.1046/j.1095-8312.2002.00099.x	DOI
480	VSCU Marco-Invertebrate Lab. (n.d.). Hesperophylax. Aquatic Insects Key. Retrieved 16 July 2023, from http://waterbug.vcsu.edu/classifications/genus/363	Analogue	Scientific website		NA		NA	NA	http://waterbug.vcsu.edu/classifications/genus/363	URL
481	Haselböck, A. (2023). Ectobius vittiventris / Bernstein-Waldschabe / Ectobiidae—Ectobiidae—Waldschaben. https://www.naturspaziergang.de/Andere/Ectobius_vittiventris.htm	Analogue	Voluntary website		NA		Germany	2023	https://www.naturspaziergang.de/Andere/Ectobius_vittiventris.htm	URL
482	Martin, H. (n.d.). Solitärbienen-Arten: Düsterbienen (Stelis). Retrieved 1 May 2023, from https://www.wildbienen.de/eb-steli.htm	Analogue	Scientific website		NA		Germany	NA	https://www.wildbienen.de/eb-steli.htm	URL
483	Wetzel, R. G. (2001). 22 Benthic animals and fish communities. In R. G. Wetzel (Ed.), Limnology (Third Edition) (pp. 665–730). Academic Press. https://doi.org/10.1016/B978-0-08-057439-4.50026-5	Analogue	Book section		NA		NA	2001	10.1016/B978-0-08-057439-4.50026-5	DOI
484	Wheeler, Q. D., & Hoebeke, E. R. (1984). A review of mycophagy in the Eucinetoidea (Coleoptera), with notes on an association of the eucinetid beetle, Eucinetus oviformis, with a Coniophoraceae fungus (Basidiomycetes: Aphyllophorales). Proceedings of the Entomological Society of Washington, 86, 274–277.	Analogue	Primary literature		Metaanalysis		Global	1984	https://www.biodiversitylibrary.org/part/57608	URL
485	Withnal, F. (2000). Biology of Yabbies (Cherax destructor) (Aquaculture Ntoes). State of Victoria, Department of Natural Resources and Environment. https://web.archive.org/web/20130511034750/http://www.growfish.com.au/Grow/Files/fn082.pdf	Analogue	Scientific website		NA		Australia	2000	https://web.archive.org/web/20130511034750/http://www.growfish.com.au/Grow/Files/fn082.pdf	URL
486	Wollhaarkäfer. (2023). In Wikipedia. https://de.wikipedia.org/w/index.php?title=Wollhaark%C3%A4fer&oldid=232662163	Analogue	Voluntary website		NA		NA	2023	https://de.wikipedia.org/w/index.php?title=Wollhaark%C3%A4fer&oldid=232662163	URL
487	Freude, H., Harde, L. W., & Lohse, G. A. (1999). Die Käfer Mitteleuropas, Bd. 6: Diversicornia (Lycidea-Byrrhidae). Spektrum. https://link.springer.com/book/9783827406804	Analogue	Book		NA		Germany	1979	978-38-2740-680-4	ISBN-13
488	Young, D., & Pollock, D. A. (2011). Pyrochroidae Latreille, 1807. In Morphology and Systematics (Elateroidea, Bostrichiformia, Cucujiformia partim) (Vol. 2, pp. 715–721). De Gruyter. https://books.google.ch/books?id=Y2k7WfeX2v4C	Analogue	Book section		NA		Global	2010	978-31-1091-121-3	ISBN-13
489	Rey, A., & Frey, D. (2022). Wald-Körbchensandbiene. Bee-Finder. https://www.bee-finder.ch/de/insekten/andrena-confinis/	Analogue	Scientific website		NA		Switzerland	2022	https://www.bee-finder.ch/de/insekten/andrena-confinis/	URL
